SummitCode,SummitName,Lat,Lon,AltM,DEM_AltM,abs_diff,dem_source
JA/SO-139,Konnoyama,34.8845,138.8403,933.0,932.54,0.4600000000000364,5a
JA/SO-140,Yadakeyama,35.1212,137.8139,926.0,926.8,0.7999999999999545,5a
JA/SO-141,Hasakayama,34.9909,137.8157,775.0,774.01,0.9900000000000091,5a
JA/SO-142,Kokawachimura1,35.1459,138.506,618.0,618.0,0.0,5a
JA/SO-143,Near oobirayama,34.9717,139.0602,592.0,585.55,6.4500000000000455,5a
JA/SO-144,Kawachimura3,35.1309,138.4254,563.0,562.54,0.4600000000000364,5a
JA/SO-145,Sanmaruyama,34.928,137.92461,548.0,540.4,7.600000000000023,5a
JA/SO-146,Sengenyama,35.08,137.8479,540.0,541.15,1.1499999999999773,5a
JA/SO-147,JA/SO-147,35.1293,138.4894,531.0,532.24,1.240000000000009,5a
JA/SO-148,JA/SO-148,35.1379,138.14999,520.0,527.97,7.970000000000027,5a
JA/SO-149,Shigehatamura,35.0919,138.4799,415.0,414.58,0.4200000000000159,5a
JA/SO-150,JA/SO-150,34.9245,137.8233,399.0,398.8,0.19999999999998863,5a
JA/SO-151,Iwachimura,34.7321,138.76961,358.0,357.79,0.20999999999997954,5a
JA/SO-152,Ichinosemura,34.6773,138.8103,352.0,352.04,0.040000000000020464,5a
JA/SO-153,Komuroyama,34.9396,139.13139,321.0,321.19,0.18999999999999773,5a
JA/SO-154,JA/SO-154,34.7333,138.00549,265.0,263.07,1.9300000000000068,5a
JA/SO-155,Kyozukayama,34.8858,138.22279,245.0,244.14,0.8600000000000136,5a
JA/SO-156,Otokoyama,35.0464,138.9258,207.0,198.04,8.960000000000008,5a
JA/SO-157,Ushioyama,34.8965,138.2679,204.0,200.42,3.5800000000000125,5a
JA/SO-158,Kisaneyama,34.6553,138.8976,200.0,200.21,0.21000000000000796,5a
JA/SO-159,Kanukiyama,35.0923,138.87759,193.0,188.88,4.1200000000000045,5a
JA/SO-160,Koumoridake,35.5569,138.20731,2865.0,2863.94,1.0599999999999454,5a
JA/SO-161,Yahazuyama,34.8948,139.0573,816.0,811.69,4.309999999999945,5a
JA/SO-162,Tenreizan,34.7372,138.99001,350.0,349.23,0.7699999999999818,5a
JA/SO-163,Ainoyama,34.6735,138.9267,253.0,252.15,0.8499999999999943,5a
JA/ST-001,Sanpouzan,35.9176,138.72771,2483.0,2481.34,1.6599999999998545,5a
JA/ST-002,Ryoukamisan,36.0234,138.84129,1723.0,1721.84,1.1600000000000819,5a
JA/ST-003,JA/ST-003,36.0168,138.74921,1659.0,1660.67,1.6700000000000728,5a
JA/ST-004,Bukousan,35.9516,139.0976,1304.0,1292.18,11.819999999999936,5a
JA/ST-005,Oomochiyama,35.9285,139.10049,1294.0,1292.3,1.7000000000000455,5a
JA/ST-006,Futagoyama,36.0696,138.86369,1166.0,1154.4,11.599999999999909,5a
JA/ST-007,Ootsuka(Nagakubonoatama),36.0916,138.9124,1066.0,1065.14,0.8599999999999,5a
JA/ST-008,Takegawadake,35.9369,139.1302,1052.0,1051.56,0.44000000000005457,5a
JA/ST-009,Jominesan,36.0976,139.00771,1038.0,1036.68,1.3199999999999363,5a
